,time_stamp,id,age,gender,trial,word,wordtype,reaction_time,decision,trigger_word,trigger_decision
23,2022_Mar_15_1127,abc,123,Female,23,lavro,fully_shuffle,0.7743029999983264,nej,3,23
24,2022_Mar_15_1127,abc,123,Female,24,ᚴᛁᚱᚴᛖ,foreign,0.6192385999893304,nej,4,24
25,2022_Mar_15_1127,abc,123,Female,25,atfen,center_shuffle,0.7029061000066577,nej,2,22
26,2022_Mar_15_1127,abc,123,Female,26,ᚱᛟᛗᚨᚾ,foreign,0.5904759999975795,nej,4,24
27,2022_Mar_15_1127,abc,123,Female,27,frima,center_shuffle,0.5707662000058917,ja,2,12
28,2022_Mar_15_1127,abc,123,Female,28,gnurd,center_shuffle,0.7186073000048054,nej,2,22
29,2022_Mar_15_1127,abc,123,Female,29,ᚨᚾᛏᚨᛚ,foreign,0.531485800005612,nej,4,24
30,2022_Mar_15_1127,abc,123,Female,30,krike,center_shuffle,0.9866749000066193,nej,2,22
31,2022_Mar_15_1127,abc,123,Female,31,bolig,real,0.611873599991668,ja,1,11
32,2022_Mar_15_1127,abc,123,Female,32,urtan,fully_shuffle,0.6754365999950096,nej,3,23
33,2022_Mar_15_1127,abc,123,Female,33,antal,real,0.6953412000002572,ja,1,11
34,2022_Mar_15_1127,abc,123,Female,34,arpil,center_shuffle,0.7813369000068633,ja,2,12
35,2022_Mar_15_1127,abc,123,Female,35,talan,fully_shuffle,0.6585382000048412,nej,3,23
36,2022_Mar_15_1127,abc,123,Female,36,ᛋᛖᛋᛟᚾ,foreign,0.6561953999917023,nej,4,24
